A1;Филе куриное
A2;Макароны
A3;Сливки
A4;Картофель
A5;Помидоры
A6;Яйцо
A7;Креветки
A8;Сыр
A9;Майонез
A10;Листья салата
A11;Фунчоза
A12;Масло
A13;Оливки
A14;Говядина
A15;Свинина
A16;Огурцы
A17;Пекинская капуста
A18;Кунжут
A19;Соевый соус
A20;Мед
B1;Курица по-азиатски
B2;Жареные креветки
B3;Жареная свинина
B4;Фунчоза в соевом соусе
B5;Готовые макароны
B6;Жареная говядина
B7;Соус для запеканки
B8;Азиатский салат
B9;Жареная курица
B10;Овощной салат
C1;Фунчоза с овощами
C2;Картофельная запеканка
C3;Креветки в сливочном соусе
C4;Жареная свинина с томатной шапочкой
C5;Жареная курица с овощами
C6;Жареные азиатские креветки
D1;Фунчоза с курицей по-азиатски
D2;Свиная запеканка с картофелем
D3;Мясо по-французски
D4;Паста с креветками
D5;Паста альфредо
D6;Цезарь
D7;Итальянский салат с курицей
D8;Фунчоза с морепродуктами
D9;Неаполитанский салат
D10;Фунчоза с говядиной по-азиатски
D11;Фунчоза со свининой по-азиатски
